siret;siren;denomination;enseigne;sigle;naf_code;categorie_chruth;domaine_chruth;sous_categorie;adresse_complete;code_postal;libelle_commune;code_departement;region_nom;region;tranche_effectif_salarie;effectif_code;effectif_label;effectif_nombre;caractere_employeur;categorie_entreprise;nombre_etablissements;date_creation;age_annees;latitude;longitude;est_siege;nature_juridique;liste_finess;liste_uai;_naf_recherche;_timestamp;signal_besoin;priorite;ca_estime_eur;marge_estimee_eur
77567089600015;775670896;LES AILES DEPLOYEES;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;31 RUE DE LIEGE 75008 PARIS;75008;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;O;ETI;9;1900-01-01;126.4996577686516;48.878815916;2.3261647989;True;9220;"[""750007668"", ""750078578"", ""750170151"", ""750170425"", ""750510083""]";[];86.10Z;2026-06-15T15:56:46.385931;90;CHAUDE;199000;39800
18000702300013;180007023;INSTITUTION NATIONALE DES INVALIDES;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;6 BOULEVARD DES INVALIDES 75007 PARIS;75007;PARIS;75;Île-de-France;11;32;32;250 à 499 salariés;499;O;ETI;5;1991-07-03;35.00068446269678;48.854682323;2.3144923669;True;7389;"[""750808578""]";[];86.10Z;2026-06-15T15:56:46.385931;90;CHAUDE;499000;99800
20008210500053;200082105;GROUPE HOSPITALIER UNIVERSITAIRE PARIS - PSYCHIATRIE ET NEUROSCIENCES;CMP VICTOR SMIRNOFF;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;22 BOULEVARD DE SEBASTOPOL 75004 PARIS;75004;PARIS;75;Île-de-France;11;52;52;5000 à 9999 salariés;9999;N;GE;93;2019-01-01;7.501711156741957;48.860376398;2.349485285;False;7364;"[""750008088""]";[];86.10Z;2026-06-15T15:56:46.015524;90;CHAUDE;9999000;1999800
78444843300085;784448433;CEREP;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;COPES 26 BOULEVARD BRUNE 75014 PARIS;75014;PARIS;75;Île-de-France;11;21;21;50 à 99 salariés;99;O;PME;15;2013-05-01;13.17180013689254;48.826970069;2.3077555303;False;9230;[];[];86.10Z;2026-06-15T15:56:46.016524;90;CHAUDE;99000;19800
78461540300036;784615403;ASS MATERNITE SAINTE FELICITE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;7 RUE DE CASABLANCA 75015 PARIS;75015;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;O;PME;2;2017-03-07;9.322381930184806;48.83900416;2.2887173285;True;9220;"[""750300667""]";[];86.10Z;2026-06-15T15:56:48.001474;90;CHAUDE;199000;39800
77569483900108;775694839;ASS POUR UTILISATION REIN ARTIFICIEL;CENTRE D AUTODIALYSE AURA;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;96 RUE CASTAGNARY 75015 PARIS;75015;PARIS;75;Île-de-France;11;32;32;250 à 499 salariés;499;N;ETI;38;1994-01-10;32.47638603696099;48.830883018;2.3063009812;False;9220;[];[];86.10Z;2026-06-15T15:56:46.016524;90;CHAUDE;499000;99800
31013269100042;310132691;CLINIQUE DU VIEUX CHATEAU D'OC;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;12 RUE JEAN JAURES 92800 PUTEAUX;92800;PUTEAUX;92;Île-de-France;11;22;22;100 à 199 salariés;199;O;GE;4;2023-11-30;2.590006844626968;48.8854488848831;2.24911033209962;True;5710;[];[];86.10Z;2026-06-15T15:56:46.690025;90;CHAUDE;199000;39800
20002709200432;200027092;HOPITAUX PARIS EST VAL-DE-MARNE;CMP ADULTES TURBIGO POLE PARIS CENTRE;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;36 RUE DE TURBIGO 75003 PARIS;75003;PARIS;75;Île-de-France;11;51;51;2000 à 4999 salariés;4999;N;ETI;68;2024-01-01;2.5023956194387407;48.864647395;2.3529693061;False;7364;"[""750802548""]";[];86.10Z;2026-06-15T15:56:46.015524;90;CHAUDE;4999000;999800
20002709200440;200027092;HOPITAUX PARIS EST VAL-DE-MARNE;CMP ADULTE DU FIGUIER POLE PARIS CENTRE;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;2 RUE DU FIGUIER 75004 PARIS;75004;PARIS;75;Île-de-France;11;51;51;2000 à 4999 salariés;4999;N;ETI;68;2024-01-01;2.5023956194387407;48.853607028;2.3592779407;False;7364;"[""750006868""]";[];86.10Z;2026-06-15T15:56:46.015524;90;CHAUDE;4999000;999800
48026601400327;480266014;VYV3 ILE-DE-FRANCE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;5EME ETAGE 167 RUE RAYMOND LOSSERAND 75014 PARIS;75014;PARIS;75;Île-de-France;11;21;21;50 à 99 salariés;99;O;GE;61;2018-06-27;8.016427104722792;48.830257175;2.3112552263;True;8210;[];[];86.10Z;2026-06-15T15:56:46.015524;90;CHAUDE;99000;19800
26750045201191;267500452;ASSISTANCE PUBLIQUE HOPITAUX DE PARIS (AP-HP);HOPITAL EUROPEEN GEORGES POMPIDOU-APHP-;AP-HP;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;RUE LEBLANC 75015 PARIS;75015;PARIS;75;Île-de-France;11;51;51;2000 à 4999 salariés;4999;O;GE;177;1993-02-01;33.4154688569473;48.838936417;2.2747246309;False;7364;"[""750803447""]";[];86.10Z;2026-06-15T15:56:46.014524;90;CHAUDE;4999000;999800
30116075000602;301160750;CLINEA;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;109-113 109 QUAI DU DOCTEUR DERVAUX 92600 ASNIERES-SUR-SEINE;92600;ASNIERES-SUR-SEINE;92;Île-de-France;11;22;22;100 à 199 salariés;199;O;GE;133;2011-01-01;15.501711156741958;48.909008177;2.2932369114;False;5710;"[""920014099""]";[];86.10Z;2026-06-15T15:56:53.807423;90;CHAUDE;199000;39800
30116075000305;301160750;CLINEA;CLINIQUE LA JONQUIERE;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;27 RUE DE LA JONQUIERE 75017 PARIS;75017;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;O;GE;133;2006-03-22;20.281998631074607;48.893489693;2.3246722266;False;5710;"[""750014169""]";[];86.10Z;2026-06-15T15:56:46.014524;90;CHAUDE;199000;39800
30116075000644;301160750;CLINEA;CRF DU PORT ROYAL;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;N°9 AU 13 9 RUE MECHAIN 75014 PARIS;75014;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;O;GE;133;2011-06-01;15.08829568788501;48.835448779;2.3401736224;False;5710;"[""750038739""]";[];86.10Z;2026-06-15T15:56:46.014524;90;CHAUDE;199000;39800
80248592000085;802485920;FONDATION SANTE SERVICE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;CS 30207 88 RUE DE VILLIERS 92300 LEVALLOIS-PERRET;92300;LEVALLOIS-PERRET;92;Île-de-France;11;42;42;1000 à 1999 salariés;1999;O;ETI;24;2021-02-20;5.363449691991787;48.8936918606818;2.2762245845289;True;9300;"[""920813623""]";[];86.10Z;2026-06-15T15:56:53.809421;90;CHAUDE;1999000;399800
20002723300010;200027233;CENTRE HOSPITALIER RIVES DE SEINE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;36 BOULEVARD DU GENERAL LECLERC 92200 NEUILLY-SUR-SEINE;92200;NEUILLY-SUR-SEINE;92;Île-de-France;11;42;42;1000 à 1999 salariés;1999;O;ETI;9;2011-01-01;15.501711156741958;48.890633728;2.26231892;True;7364;[];[];86.10Z;2026-06-15T15:56:53.809421;90;CHAUDE;1999000;399800
20002723300028;200027233;CENTRE HOSPITALIER RIVES DE SEINE;CENTRE LONG SEJOUR;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;30 RUE KILFORD 92400 COURBEVOIE;92400;COURBEVOIE;92;Île-de-France;11;42;42;1000 à 1999 salariés;1999;N;ETI;9;2011-01-01;15.501711156741958;48.9007387278877;2.25289768939216;False;7364;[];[];86.10Z;2026-06-15T15:56:53.809421;90;CHAUDE;1999000;399800
48087752100033;480877521;CLINIQUE DU LITTORAL;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;12 RUE JEAN JAURES 92800 PUTEAUX;92800;PUTEAUX;92;Île-de-France;11;21;21;50 à 99 salariés;99;O;GE;3;2020-07-16;5.963039014373717;48.8854488848831;2.24911033209962;True;5710;[];[];86.10Z;2026-06-15T15:56:54.502403;90;CHAUDE;99000;19800
20002723300077;200027233;CENTRE HOSPITALIER RIVES DE SEINE;CH SITE DE COURBEVOIE;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;30 RUE KILFORD 92400 COURBEVOIE;92400;COURBEVOIE;92;Île-de-France;11;42;42;1000 à 1999 salariés;1999;N;ETI;9;2011-01-01;15.501711156741958;48.9007387278877;2.25289768939216;False;7364;"[""920000569""]";[];86.10Z;2026-06-15T15:56:53.809421;90;CHAUDE;1999000;399800
20002723300085;200027233;CENTRE HOSPITALIER RIVES DE SEINE;CH SITE DE PUTEAUX;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;1 BOULEVARD RICHARD WALLACE 92800 PUTEAUX;92800;PUTEAUX;92;Île-de-France;11;42;42;1000 à 1999 salariés;1999;N;ETI;9;2011-01-01;15.501711156741958;48.8788682759239;2.24169856857702;False;7364;"[""920000593""]";[];86.10Z;2026-06-15T15:56:53.809421;90;CHAUDE;1999000;399800
20002723300093;200027233;CENTRE HOSPITALIER RIVES DE SEINE;HAD;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;36 BOULEVARD DU GENERAL LECLERC 92200 NEUILLY-SUR-SEINE;92200;NEUILLY-SUR-SEINE;92;Île-de-France;11;42;42;1000 à 1999 salariés;1999;N;ETI;9;2011-01-01;15.501711156741958;48.890633728;2.26231892;False;7364;"[""920000585"", ""920813599""]";[];86.10Z;2026-06-15T15:56:53.809421;90;CHAUDE;1999000;399800
52029338200039;520293382;MAISON DE SANTE DE ROCHEBRUNE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;12 RUE JEAN JAURES 92800 PUTEAUX;92800;PUTEAUX;92;Île-de-France;11;22;22;100 à 199 salariés;199;O;GE;3;2020-09-30;5.754962354551677;48.8854488848831;2.24911033209962;True;5710;[];[];86.10Z;2026-06-15T15:56:54.502403;90;CHAUDE;199000;39800
52424699800032;524246998;CLINIQUE DE CHATILLON;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;12 RUE JEAN JAURES 92800 PUTEAUX;92800;PUTEAUX;92;Île-de-France;11;22;22;100 à 199 salariés;199;N;GE;3;2020-07-16;5.963039014373717;48.8854488848831;2.24911033209962;True;5710;[];[];86.10Z;2026-06-15T15:56:54.502403;90;CHAUDE;199000;39800
78542377300015;785423773;HOPITAL AMERICAIN DE PARIS;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;63 BOULEVARD VICTOR HUGO 92200 NEUILLY-SUR-SEINE;92200;NEUILLY-SUR-SEINE;92;Île-de-France;11;41;41;500 à 999 salariés;999;O;ETI;3;1900-01-01;126.4996577686516;48.893352954;2.2732631095;True;9220;"[""920008539"", ""920041589"", ""920300787""]";[];86.10Z;2026-06-15T15:56:54.882132;90;CHAUDE;999000;199800
78542377300031;785423773;HOPITAL AMERICAIN DE PARIS;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;3 RUE ALBERT DE VATIMESNIL 92300 LEVALLOIS-PERRET;92300;LEVALLOIS-PERRET;92;Île-de-France;11;21;21;50 à 99 salariés;99;O;ETI;3;2010-06-01;16.087611225188226;48.894544141;2.2756721062;False;9220;[];[];86.10Z;2026-06-15T15:56:54.882132;90;CHAUDE;99000;19800
33137801800047;331378018;CENTRE MEDICO CHIRURGICAL AMBROISE PARE HARTMANN (CMC AMBROISE PARE HA);;CMC AMBROISE PARE HA;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;25 BOULEVARD VICTOR HUGO 92200 NEUILLY-SUR-SEINE;92200;NEUILLY-SUR-SEINE;92;Île-de-France;11;42;42;1000 à 1999 salariés;1999;N;ETI;7;1995-01-30;31.42231348391513;48.886149611;2.279100659;True;5710;"[""920300753""]";[];86.10Z;2026-06-15T15:56:54.501304;90;CHAUDE;1999000;399800
33137801800013;331378018;CENTRE MEDICO CHIRURGICAL AMBROISE PARE HARTMANN (CMC AMBROISE PARE HA);;CMC AMBROISE PARE HA;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;27 BOULEVARD VICTOR HUGO 92200 NEUILLY-SUR-SEINE;92200;NEUILLY-SUR-SEINE;92;Île-de-France;11;31;31;200 à 249 salariés;249;O;ETI;7;1985-01-01;41.50034223134839;48.886149611;2.279100659;False;5710;[];[];86.10Z;2026-06-15T15:56:54.501304;90;CHAUDE;249000;49800
33137801800062;331378018;CENTRE MEDICO CHIRURGICAL AMBROISE PARE HARTMANN (CMC AMBROISE PARE HA);;CMC AMBROISE PARE HA;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;8-10 8 RUE GUSTAVE EIFFEL 92110 CLICHY;92110;CLICHY;92;Île-de-France;11;42;42;1000 à 1999 salariés;1999;O;ETI;7;2020-09-30;5.754962354551677;48.9041257315055;2.29533338248259;False;5710;[];[];86.10Z;2026-06-15T15:56:54.501304;90;CHAUDE;1999000;399800
33137801800070;331378018;CENTRE MEDICO CHIRURGICAL AMBROISE PARE HARTMANN (CMC AMBROISE PARE HA);;CMC AMBROISE PARE HA;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;48 T BOULEVARD VICTOR HUGO 92200 NEUILLY-SUR-SEINE;92200;NEUILLY-SUR-SEINE;92;Île-de-France;11;41;41;500 à 999 salariés;999;O;ETI;7;2022-03-10;4.314852840520191;48.8890525941311;2.27777673005119;False;5710;"[""920029550""]";[];86.10Z;2026-06-15T15:56:54.501304;90;CHAUDE;999000;199800
26920136400016;269201364;CTRE LONG MOYEN SEJOUR FONDATION ROGUET;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;58 RUE GEORGES BOISSEAU 92110 CLICHY;92110;CLICHY;92;Île-de-France;11;32;32;250 à 499 salariés;499;O;ETI;5;1986-02-01;40.41615331964408;48.906458883;2.3146391313;True;7364;"[""920001369""]";[];86.10Z;2026-06-15T15:56:54.502403;90;CHAUDE;499000;99800
26920136400040;269201364;CTRE LONG MOYEN SEJOUR FONDATION ROGUET;ACCUEIL DE JOUR;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;58 RUE GEORGES BOISSEAU 92110 CLICHY;92110;CLICHY;92;Île-de-France;11;32;32;250 à 499 salariés;499;N;ETI;5;2008-01-01;18.50239561943874;48.906592924;2.3138297329;False;7364;[];[];86.10Z;2026-06-15T15:56:54.502403;90;CHAUDE;499000;99800
26920136400057;269201364;CTRE LONG MOYEN SEJOUR FONDATION ROGUET;SSR - USLD FONDATION ROGUET;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;64 RUE VILLENEUVE 92110 CLICHY;92110;CLICHY;92;Île-de-France;11;32;32;250 à 499 salariés;499;O;ETI;5;2014-12-10;11.561943874058864;48.90650471;2.3144909168;False;7364;"[""920809852""]";[];86.10Z;2026-06-15T15:56:54.502403;90;CHAUDE;499000;99800
31177097800030;311770978;MAISON DE SANTE DE BELLEVUE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;12 RUE JEAN JAURES 92800 PUTEAUX;92800;PUTEAUX;92;Île-de-France;11;22;22;100 à 199 salariés;199;O;GE;3;2020-06-30;6.006844626967831;48.8854488848831;2.24911033209962;True;5710;[];[];86.10Z;2026-06-15T15:56:54.502403;90;CHAUDE;199000;39800
78542380700011;785423807;FONDATION PAUL PARQUET;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;ILE DE LA GRANDE JATTE 41 BOULEVARD PAUL-EMILE VICTOR 92200 NEUILLY-SUR-SEINE;92200;NEUILLY-SUR-SEINE;92;Île-de-France;11;22;22;100 à 199 salariés;199;O;PME;1;1900-01-01;126.4996577686516;48.893322723;2.2628584351;True;9300;"[""920038833"", ""920600061""]";[];86.10Z;2026-06-15T15:56:55.291230;90;CHAUDE;199000;39800
44245523400058;442455234;CLINIQUE MADELEINE REMUZAT;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;12 RUE JEAN JAURES 92800 PUTEAUX;92800;PUTEAUX;92;Île-de-France;11;22;22;100 à 199 salariés;199;O;GE;5;2020-06-30;6.006844626967831;48.8854488848831;2.24911033209962;True;5710;"[""130780083""]";[];86.10Z;2026-06-15T15:56:54.883133;90;CHAUDE;199000;39800
41414792600029;414147926;CLINIQUE DU CHATEAU;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;12 RUE JEAN JAURES 92800 PUTEAUX;92800;PUTEAUX;92;Île-de-France;11;21;21;50 à 99 salariés;99;O;GE;2;2020-06-30;6.006844626967831;48.8854488848831;2.24911033209962;True;5710;[];[];86.10Z;2026-06-15T15:56:54.883133;90;CHAUDE;99000;19800
75152659100035;751526591;CLINIQUE DU CAMPUS;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;12 RUE JEAN JAURES 92800 PUTEAUX;92800;PUTEAUX;92;Île-de-France;11;21;21;50 à 99 salariés;99;O;GE;3;2020-07-16;5.963039014373717;48.8854488848831;2.24911033209962;True;5710;[];[];86.10Z;2026-06-15T15:56:54.883133;90;CHAUDE;99000;19800
80411413000045;804114130;CLINIQUE DES BOUCLES DE LA SEINE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;12 RUE JEAN JAURES 92800 PUTEAUX;92800;PUTEAUX;92;Île-de-France;11;22;22;100 à 199 salariés;199;N;GE;4;2020-07-16;5.963039014373717;48.8854488848831;2.24911033209962;True;5710;[];[];86.10Z;2026-06-15T15:56:54.502403;90;CHAUDE;199000;39800
52900746000049;529007460;SAS CLINIQUE DU VIRVAL;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;12 RUE JEAN JAURES 92800 PUTEAUX;92800;PUTEAUX;92;Île-de-France;11;22;22;100 à 199 salariés;199;O;GE;4;2020-07-16;5.963039014373717;48.8854488848831;2.24911033209962;True;5710;[];[];86.10Z;2026-06-15T15:56:54.502403;90;CHAUDE;199000;39800
79146118900049;791461189;CLINIQUE DES OYATS - CENTRE DE POST-CURE SPYCHIATRIQUE DU LITTORAL;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;12 RUE JEAN JAURES 92800 PUTEAUX;92800;PUTEAUX;92;Île-de-France;11;21;21;50 à 99 salariés;99;O;GE;4;2020-07-16;5.963039014373717;48.8854488848831;2.24911033209962;True;5710;[];[];86.10Z;2026-06-15T15:56:54.502403;90;CHAUDE;99000;19800
33588036500028;335880365;MAISON DE SANTE DE MERFY;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;12 RUE JEAN JAURES 92800 PUTEAUX;92800;PUTEAUX;92;Île-de-France;11;22;22;100 à 199 salariés;199;N;GE;3;2019-04-24;7.19233401779603;48.8854488848831;2.24911033209962;True;5710;[];[];86.10Z;2026-06-15T15:56:54.502403;90;CHAUDE;199000;39800
26930101600060;269301016;CENTRE HOSPITALIER GENERAL DE ST DENIS;CENTRE MEDICO PSYCHOLOGIQUE;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;11 RUE JEAN 93400 SAINT-OUEN-SUR-SEINE;93400;SAINT-OUEN-SUR-SEINE;93;Île-de-France;11;51;51;2000 à 4999 salariés;4999;N;ETI;21;1996-12-25;29.51950718685832;48.9090645762213;2.33416034826119;False;7364;"[""930001458""]";[];86.10Z;2026-06-15T15:56:56.424370;90;CHAUDE;4999000;999800
78467063000010;784670630;CENTRE HOSPITALIER DE BLIGNY;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;61 RUE SAINT-DIDIER 75016 PARIS;75016;PARIS;75;Île-de-France;11;41;41;500 à 999 salariés;999;O;ETI;3;1900-01-01;126.4996577686516;48.86752851;2.2819355416;True;9230;[];[];86.10Z;2026-06-15T15:56:46.386940;90;CHAUDE;999000;199800
44163740200047;441637402;CLINALLIANCE PARIS BUTTES CHAUMONT;CLINALLIANCE PARIS 18;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;19 RUE HEGESIPPE MOREAU 75018 PARIS;75018;PARIS;75;Île-de-France;11;31;31;200 à 249 salariés;249;O;ETI;4;2025-10-01;0.7529089664613279;48.8877242773045;2.3276416959153;False;5710;"[""750071185""]";[];86.10Z;2026-06-15T15:56:47.098597;90;CHAUDE;249000;49800
31315039300038;313150393;CLINIQUE DU ROND POINT DES CHAMPS ELYSEES (CLINIQUE DES CHAMPS ELYSEES) (CRPCE);CLINIQUE DES CHAMPS ELYSEES;CRPCE;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;61 AVENUE FRANKLIN D. ROOSEVELT 75008 PARIS;75008;PARIS;75;Île-de-France;11;21;21;50 à 99 salariés;99;O;PME;4;1995-03-15;31.301848049281315;48.87165087;2.309872036;True;5599;"[""750051088""]";[];86.10Z;2026-06-15T15:56:46.690025;90;CHAUDE;99000;19800
31315039300046;313150393;CLINIQUE DU ROND POINT DES CHAMPS ELYSEES (CLINIQUE DES CHAMPS ELYSEES) (CRPCE);;CRPCE;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;57 AVENUE FRANKLIN D. ROOSEVELT 75008 PARIS;75008;PARIS;75;Île-de-France;11;21;21;50 à 99 salariés;99;N;PME;4;1999-01-01;27.50171115674196;48.871162556;2.3098771425;False;5599;[];[];86.10Z;2026-06-15T15:56:46.690025;90;CHAUDE;99000;19800
78461537900020;784615379;ASSOCIATION DES DAMES DU CALVAIRE (ADC);MAISON MEDICALE JEANNE GARNIER;ADC;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;106 AVENUE EMILE ZOLA 75015 PARIS;75015;PARIS;75;Île-de-France;11;32;32;250 à 499 salariés;499;O;PME;3;1996-07-22;29.94661190965092;48.846561062;2.2897546125;True;9220;"[""750150187""]";[];86.10Z;2026-06-15T15:56:46.690025;90;CHAUDE;499000;99800
78461537900012;784615379;ASSOCIATION DES DAMES DU CALVAIRE (ADC);ESPACE AURELIE JOUSSET;ADC;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;ESPACE AURELIE JOUSSET 55 RUE DE LOURMEL 75015 PARIS;75015;PARIS;75;Île-de-France;11;32;32;250 à 499 salariés;499;O;PME;3;1900-01-01;126.4996577686516;48.846545695;2.2888786202;False;9220;"[""750045791""]";[];86.10Z;2026-06-15T15:56:46.690025;90;CHAUDE;499000;99800
53440335700054;534403357;CLINIQUE DE L'EPINOY;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;12 RUE JEAN JAURES 92800 PUTEAUX;92800;PUTEAUX;92;Île-de-France;11;21;21;50 à 99 salariés;99;N;GE;5;2020-07-16;5.963039014373717;48.8854488848831;2.24911033209962;True;5710;[];[];82.11Z;2026-06-15T16:47:35.636547;90;CHAUDE;99000;19800
