siret;siren;denomination;enseigne;sigle;naf_code;categorie_chruth;domaine_chruth;sous_categorie;adresse_complete;code_postal;libelle_commune;code_departement;region_nom;region;tranche_effectif_salarie;effectif_code;effectif_label;effectif_nombre;caractere_employeur;categorie_entreprise;nombre_etablissements;date_creation;age_annees;latitude;longitude;est_siege;nature_juridique;liste_finess;liste_uai;_naf_recherche;_timestamp;signal_besoin;priorite;ca_estime_eur;marge_estimee_eur
56209797200011;562097972;HOPITAL PRIVE GEOFFROY SAINT HILAIRE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;59 RUE GEOFFROY-SAINT-HILAIRE 75005 PARIS;75005;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;O;GE;4;1956-01-01;70.50239561943874;48.843603517;2.3549335337;True;5710;"[""750300071""]";[];86.10Z;2026-06-15T15:56:46.385931;90;CHAUDE;199000;39800
56209797200029;562097972;HOPITAL PRIVE GEOFFROY SAINT HILAIRE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;6 RUE LACEPEDE 75005 PARIS;75005;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;N;GE;4;2011-01-10;15.477070499657769;48.843712753;2.3542266305;False;5710;[];[];86.10Z;2026-06-15T15:56:46.385931;90;CHAUDE;199000;39800
56209797200037;562097972;HOPITAL PRIVE GEOFFROY SAINT HILAIRE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;15 RUE LACEPEDE 75005 PARIS;75005;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;N;GE;4;2008-01-01;18.50239561943874;48.843624785;2.3529264454;False;5710;[];[];86.10Z;2026-06-15T15:56:46.385931;90;CHAUDE;199000;39800
56209797200045;562097972;HOPITAL PRIVE GEOFFROY SAINT HILAIRE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;11 RUE LACEPEDE 75005 PARIS;75005;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;N;GE;4;1998-01-01;28.501026694045173;48.843618049;2.3532441492;False;5710;[];[];86.10Z;2026-06-15T15:56:46.385931;90;CHAUDE;199000;39800
20008210500103;200082105;GROUPE HOSPITALIER UNIVERSITAIRE PARIS - PSYCHIATRIE ET NEUROSCIENCES;CMP DU PERE CORENTIN RIDDER;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;26 BOULEVARD BRUNE 75014 PARIS;75014;PARIS;75;Île-de-France;11;52;52;5000 à 9999 salariés;9999;N;GE;93;2019-01-01;7.501711156741957;48.826970069;2.3077555303;False;7364;"[""750802357""]";[];86.10Z;2026-06-15T15:56:46.015524;90;CHAUDE;9999000;1999800
26750045201274;267500452;ASSISTANCE PUBLIQUE HOPITAUX DE PARIS (AP-HP);HOPITAL VAUGIRARD;AP-HP;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;10 RUE VAUGELAS 75015 PARIS;75015;PARIS;75;Île-de-France;11;32;32;250 à 499 salariés;499;O;GE;177;1991-10-31;34.672142368240934;48.834377284;2.2941135552;False;7364;"[""750100216""]";[];86.10Z;2026-06-15T15:56:46.014524;90;CHAUDE;499000;99800
88006629500028;880066295;CLINIQUE TURIN;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;9 RUE DE TURIN 75008 PARIS;75008;PARIS;75;Île-de-France;11;32;32;250 à 499 salariés;499;O;ETI;2;2020-01-22;6.444900752908967;48.8800911083994;2.32500383798943;True;5710;"[""750300154""]";[];86.10Z;2026-06-15T15:56:49.266468;90;CHAUDE;499000;99800
88006677400022;880066774;CLINIQUE INTERNATIONALE DU PARC MONCEAU;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;21-23 21 RUE DE CHAZELLES 75017 PARIS;75017;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;O;ETI;2;2020-01-22;6.444900752908967;48.8800070018058;2.30424874257835;True;5710;"[""750300915""]";[];86.10Z;2026-06-15T15:56:49.266468;90;CHAUDE;199000;39800
26750045201464;267500452;ASSISTANCE PUBLIQUE HOPITAUX DE PARIS (AP-HP);CMP ENFANTS AP-HP BICHAT 75I12;AP-HP;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;64 RUE RENE BINET 75018 PARIS;75018;PARIS;75;Île-de-France;11;53;53;10000 salariés et plus;10000;N;GE;177;1904-04-04;122.24503764544832;48.899371804;2.3369220595;False;7364;"[""750802258""]";[];86.10Z;2026-06-15T15:56:46.014524;90;CHAUDE;10000000;2000000
55209712300012;552097123;CLINIQUE DU LOUVRE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;17 RUE SAINT-GERMAIN L'AUXERROIS 75001 PARIS;75001;PARIS;75;Île-de-France;11;21;21;50 à 99 salariés;99;O;ETI;1;1955-01-01;71.50171115674196;48.858357819;2.3444606547;True;5710;"[""750300014""]";[];86.10Z;2026-06-15T15:56:48.952721;90;CHAUDE;99000;19800
31677850500073;316778505;SOCIETE D'EXPLOITATION DE MAISONS CHIRURGICALES ET DE SANTE (ALEO SANTE) (SEMCS);;SEMCS;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;66 RUE LABROUSTE 75015 PARIS;75015;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;N;PME;10;2006-12-04;19.578370978781656;48.832186525;2.3063702772;False;5710;[];[];86.10Z;2026-06-15T15:56:46.016524;90;CHAUDE;199000;39800
31677850500081;316778505;SOCIETE D'EXPLOITATION DE MAISONS CHIRURGICALES ET DE SANTE (ALEO SANTE) (SEMCS);;SEMCS;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;34 RUE DE LA CONVENTION 75015 PARIS;75015;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;N;PME;10;2009-09-01;16.83504449007529;48.844494408;2.2801844491;False;5710;[];[];86.10Z;2026-06-15T15:56:46.017528;90;CHAUDE;199000;39800
31677850500024;316778505;SOCIETE D'EXPLOITATION DE MAISONS CHIRURGICALES ET DE SANTE (ALEO SANTE) (SEMCS);ALEO SANTE;SEMCS;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;64 RUE LABROUSTE 75015 PARIS;75015;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;O;PME;10;1993-06-15;33.04859685147159;48.832454595;2.3066126066;True;5710;[];[];86.10Z;2026-06-15T15:56:46.016524;90;CHAUDE;199000;39800
31677850500032;316778505;SOCIETE D'EXPLOITATION DE MAISONS CHIRURGICALES ET DE SANTE (ALEO SANTE) (SEMCS);SEMCS;SEMCS;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;3-7 3 RUE DE L'HARMONIE 75015 PARIS;75015;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;N;PME;10;1997-05-28;29.097878165639973;48.832079361;2.3069670268;False;5710;[];[];86.10Z;2026-06-15T15:56:46.016524;90;CHAUDE;199000;39800
75409490200022;754094902;CENTRE MEDICO CHIRURGICAL BIZET (CMC BIZET);;CMC BIZET;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;23 RUE GEORGES BIZET 75016 PARIS;75016;PARIS;75;Île-de-France;11;31;31;200 à 249 salariés;249;O;ETI;2;2012-10-17;13.708418891170432;48.867401186;2.2970438539;True;5710;"[""750300766""]";[];86.10Z;2026-06-15T15:56:48.952721;90;CHAUDE;249000;49800
