rang_ville;domaine_chruth;code_departement;libelle_commune;nb_prospects;nb_societes;nb_chaude;score_moyen;categories_principales
1;PUBLIC;75;PARIS;1247;987;523;64.6;PUB_ECOLE, PUB_MAIRIE, PUB_HOPITAL, PUB_MUSEE
2;PRIVE;75;PARIS;39646;37452;401;46.1;PRIV_SANTE_CENTRE, IMMO_AGENCE, PRIV_SANTE_CABINET, PRIV_BUREAU, PRIV_LOISIRS, PRIV_RESTAURANT, PRIV_COMMERCE
3;PUBLIC;92;PUTEAUX;50;40;35;74.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
4;PUBLIC;93;ROMAINVILLE;39;10;30;74.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
5;PUBLIC;78;VERSAILLES;61;39;29;64.8;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
6;PUBLIC;92;NANTERRE;38;24;27;71.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
7;PUBLIC;92;BOULOGNE-BILLANCOURT;43;25;25;70.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
8;PUBLIC;93;SAINT-DENIS;41;21;24;67.4;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
9;PUBLIC;92;NEUILLY-SUR-SEINE;34;20;22;73.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
10;PUBLIC;93;NOISY-LE-GRAND;35;10;21;65.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
11;PRIVE;92;LEVALLOIS-PERRET;899;887;21;46.9;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, PRIV_RESTAURANT, IMMO_AGENCE, PRIV_BUREAU, PRIV_COMMERCE
12;PUBLIC;92;SURESNES;39;28;19;65.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
13;PRIVE;92;COURBEVOIE;745;736;18;45.6;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
14;PUBLIC;93;AUBERVILLIERS;22;13;17;70.2;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
15;PUBLIC;92;CLICHY;22;10;16;73.9;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
16;PUBLIC;93;SAINT-OUEN-SUR-SEINE;21;10;16;73.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
17;PUBLIC;92;COLOMBES;19;10;16;70.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
18;PUBLIC;78;SAINT-GERMAIN-EN-LAYE;30;15;16;67.8;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
19;PUBLIC;94;IVRY-SUR-SEINE;28;19;16;65.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
20;PUBLIC;94;CRETEIL;38;19;16;63.0;PUB_MAIRIE, PUB_MUSEE, PUB_ECOLE, PUB_HOPITAL
21;PUBLIC;95;ARGENTEUIL;25;13;15;68.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
22;PUBLIC;92;ANTONY;20;10;15;68.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
23;PUBLIC;93;MONTREUIL;43;31;15;59.4;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
24;PUBLIC;93;BAGNOLET;16;5;14;75.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
25;PUBLIC;92;MONTROUGE;22;11;14;69.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
26;PUBLIC;92;RUEIL-MALMAISON;21;12;14;69.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
27;PUBLIC;92;LEVALLOIS-PERRET;20;12;13;72.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
28;PUBLIC;92;LA GARENNE-COLOMBES;20;11;13;67.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
29;PUBLIC;95;MONTMORENCY;21;10;13;66.7;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
30;PUBLIC;93;PANTIN;21;13;13;65.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
31;PRIVE;92;PUTEAUX;534;525;13;45.4;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
32;PUBLIC;93;EPINAY-SUR-SEINE;15;6;12;71.7;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
33;PUBLIC;92;SAINT-CLOUD;18;8;12;71.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
34;PUBLIC;92;ASNIERES-SUR-SEINE;19;10;12;68.2;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
35;PUBLIC;92;GENNEVILLIERS;20;9;12;66.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
36;PRIVE;92;NEUILLY-SUR-SEINE;1233;1196;12;46.4;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, PRIV_BUREAU, IMMO_AGENCE, PRIV_RESTAURANT, PRIV_COMMERCE
37;PUBLIC;94;VILLENEUVE-SAINT-GEORGES;16;5;11;72.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
38;PUBLIC;95;BEZONS;14;4;11;72.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
39;PUBLIC;92;FONTENAY-AUX-ROSES;16;7;11;70.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
40;PUBLIC;92;GARCHES;15;8;11;69.7;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
41;PUBLIC;92;ISSY-LES-MOULINEAUX;20;11;11;68.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
42;PUBLIC;94;VITRY-SUR-SEINE;24;9;11;66.2;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
43;PUBLIC;93;LA COURNEUVE;11;2;10;72.7;PUB_MAIRIE, PUB_ECOLE
44;PUBLIC;92;VILLENEUVE-LA-GARENNE;13;4;10;71.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
45;PUBLIC;92;SCEAUX;18;8;10;65.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
46;PUBLIC;93;VILLETANEUSE;11;1;9;70.5;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
47;PUBLIC;92;CHATILLON;16;7;9;68.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
48;PUBLIC;93;NEUILLY-SUR-MARNE;18;5;9;68.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
49;PUBLIC;94;CACHAN;13;3;9;68.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
50;PUBLIC;92;BOIS-COLOMBES;12;5;9;67.9;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
51;PUBLIC;94;ALFORTVILLE;15;5;9;67.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
52;PUBLIC;92;COURBEVOIE;23;14;9;66.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
53;PUBLIC;92;CLAMART;20;9;9;65.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
54;PUBLIC;94;CHARENTON-LE-PONT;16;7;9;65.0;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
55;PUBLIC;92;MEUDON;21;12;9;64.8;PUB_MAIRIE, PUB_MUSEE, PUB_ECOLE, PUB_HOPITAL
56;PUBLIC;92;BAGNEUX;14;4;9;64.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
57;PUBLIC;94;SAINT-MAURICE;23;6;9;64.3;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
58;PUBLIC;93;BOBIGNY;21;12;9;64.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
59;PUBLIC;91;MASSY;24;15;9;60.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
60;PUBLIC;94;SAINT-MAUR-DES-FOSSES;31;23;9;57.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
61;PRIVE;92;ASNIERES-SUR-SEINE;723;709;9;43.6;PRIV_SANTE_CENTRE, PRIV_SANTE_CABINET, PRIV_LOISIRS, IMMO_AGENCE, PRIV_RESTAURANT, PRIV_BUREAU, PRIV_COMMERCE
62;PRIVE;92;BOULOGNE-BILLANCOURT;1634;1618;9;41.9;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, PRIV_BUREAU, IMMO_AGENCE, PRIV_RESTAURANT, PRIV_COMMERCE
63;PRIVE;93;SAINT-DENIS;719;711;9;40.7;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
64;PUBLIC;94;BRY-SUR-MARNE;12;5;8;71.2;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
65;PUBLIC;95;VILLIERS-LE-BEL;15;5;8;69.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
66;PUBLIC;92;MALAKOFF;14;5;8;68.9;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
67;PUBLIC;94;SAINT-MANDE;14;7;8;68.2;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
68;PUBLIC;92;VANVES;16;7;8;67.5;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
69;PUBLIC;92;SEVRES;15;6;8;67.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
70;PUBLIC;93;AULNAY-SOUS-BOIS;18;8;8;66.4;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
71;PUBLIC;94;CHAMPIGNY-SUR-MARNE;20;8;8;65.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
72;PUBLIC;93;DRANCY;20;11;8;64.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
73;PUBLIC;93;MONTFERMEIL;20;7;8;63.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
74;PUBLIC;78;LE VESINET;20;10;8;63.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
75;PUBLIC;93;NOISY-LE-SEC;22;11;8;61.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
76;PRIVE;92;CLICHY;585;575;8;45.6;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
77;PRIVE;93;SAINT-OUEN-SUR-SEINE;537;534;8;43.7;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
78;PRIVE;92;SURESNES;482;479;8;41.9;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
79;PUBLIC;93;L'ILE-SAINT-DENIS;9;2;7;70.0;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
80;PUBLIC;95;ERMONT;14;4;7;67.9;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
81;PUBLIC;78;LE PECQ;13;4;7;66.9;PUB_MAIRIE, PUB_ECOLE
82;PUBLIC;94;CHEVILLY-LARUE;16;6;7;66.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
83;PUBLIC;94;CHOISY-LE-ROI;17;9;7;66.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
84;PUBLIC;95;MONTIGNY-LES-CORMEILLES;12;3;7;65.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
85;PUBLIC;94;VILLEJUIF;17;8;7;64.4;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
86;PUBLIC;78;POISSY;18;8;7;62.7;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
87;PUBLIC;95;SARCELLES;21;12;7;62.4;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
88;PUBLIC;91;ATHIS-MONS;19;9;7;61.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
89;PUBLIC;92;VILLE-D'AVRAY;8;3;6;74.4;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
90;PUBLIC;94;BONNEUIL-SUR-MARNE;8;3;6;71.2;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
91;PUBLIC;93;LES LILAS;12;4;6;70.4;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
92;PUBLIC;93;LE PRE-SAINT-GERVAIS;11;3;6;69.1;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
93;PUBLIC;94;NOGENT-SUR-MARNE;13;5;6;68.8;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
94;PUBLIC;95;EAUBONNE;15;6;6;67.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
95;PUBLIC;94;VALENTON;12;3;6;67.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
96;PUBLIC;94;VILLENEUVE-LE-ROI;11;2;6;66.4;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
97;PUBLIC;95;GONESSE;15;5;6;65.7;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
98;PUBLIC;92;CHATENAY-MALABRY;16;6;6;65.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
99;PUBLIC;94;ARCUEIL;13;3;6;65.4;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
100;PUBLIC;94;GENTILLY;13;4;6;65.0;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
101;PUBLIC;93;LIVRY-GARGAN;19;9;6;64.7;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
102;PUBLIC;94;LE PERREUX-SUR-MARNE;15;8;6;64.3;PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
103;PUBLIC;93;LE BOURGET;11;7;6;64.1;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
104;PUBLIC;78;MAISONS-LAFFITTE;17;7;6;63.2;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
105;PUBLIC;94;VINCENNES;16;8;6;63.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
106;PUBLIC;95;GARGES-LES-GONESSE;17;8;6;62.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
107;PUBLIC;78;CHATOU;16;7;6;61.9;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
108;PUBLIC;91;LONGJUMEAU;19;9;6;59.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
109;PRIVE;94;CHARENTON-LE-PONT;355;351;6;41.8;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
110;PUBLIC;92;LE PLESSIS-ROBINSON;10;3;5;70.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
111;PUBLIC;94;FRESNES;12;4;5;68.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
112;PUBLIC;94;LE KREMLIN-BICETRE;11;5;5;67.7;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
113;PUBLIC;91;MORANGIS;10;3;5;67.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
114;PUBLIC;93;ROSNY-SOUS-BOIS;13;4;5;66.2;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
115;PUBLIC;94;ORLY;14;4;5;66.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
116;PUBLIC;95;HERBLAY-SUR-SEINE;15;6;5;65.7;PUB_MAIRIE, PUB_MUSEE, PUB_ECOLE, PUB_HOPITAL
117;PUBLIC;94;THIAIS;16;6;5;64.7;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
118;PUBLIC;93;STAINS;16;8;5;64.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
119;PUBLIC;93;SEVRAN;15;5;5;64.0;PUB_MAIRIE, PUB_ECOLE
120;PUBLIC;78;SARTROUVILLE;16;6;5;63.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
121;PUBLIC;93;BONDY;15;6;5;63.7;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
122;PUBLIC;92;BOURG-LA-REINE;10;4;5;63.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
123;PUBLIC;78;MARLY-LE-ROI;16;6;5;63.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
124;PRIVE;92;NANTERRE;527;513;5;41.8;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
125;PRIVE;93;AUBERVILLIERS;526;521;5;40.2;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, PRIV_BUREAU, IMMO_AGENCE, PRIV_RESTAURANT, PRIV_COMMERCE
126;PUBLIC;91;PARAY-VIEILLE-POSTE;7;3;4;68.6;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
127;PUBLIC;95;FRANCONVILLE;10;2;4;68.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
128;PUBLIC;95;BEAUCHAMP;9;3;4;67.2;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
129;PUBLIC;91;VERRIERES-LE-BUISSON;7;2;4;67.1;PUB_MAIRIE, PUB_ECOLE
130;PUBLIC;93;GAGNY;12;3;4;67.1;PUB_MAIRIE, PUB_ECOLE
131;PUBLIC;93;DUGNY;10;2;4;67.0;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
132;PUBLIC;78;MONTESSON;11;3;4;66.8;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
133;PUBLIC;93;LE RAINCY;11;4;4;66.8;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
134;PUBLIC;94;L'HAY-LES-ROSES;11;2;4;65.9;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
135;PUBLIC;93;VILLEMOMBLE;14;4;4;65.4;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
136;PUBLIC;78;LE CHESNAY-ROCQUENCOURT;15;6;4;65.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
137;PUBLIC;78;SAINT-CYR-L'ECOLE;10;2;4;65.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
138;PUBLIC;78;VIROFLAY;11;4;4;64.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
139;PUBLIC;91;IGNY;9;2;4;64.4;PUB_MAIRIE, PUB_ECOLE
140;PUBLIC;78;LA CELLE-SAINT-CLOUD;13;4;4;64.2;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
141;PUBLIC;93;LES PAVILLONS-SOUS-BOIS;10;2;4;63.5;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
142;PUBLIC;95;CORMEILLES-EN-PARISIS;12;3;4;63.3;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
143;PUBLIC;91;PALAISEAU;14;5;4;61.4;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
144;PUBLIC;94;MAISONS-ALFORT;14;5;4;61.4;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
145;PUBLIC;78;ACHERES;15;4;4;59.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
146;PUBLIC;93;PIERREFITTE-SUR-SEINE;11;8;4;57.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
147;PRIVE;92;ISSY-LES-MOULINEAUX;610;604;4;43.0;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
148;PRIVE;93;BAGNOLET;291;289;4;41.3;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, PRIV_RESTAURANT, IMMO_AGENCE, PRIV_BUREAU, PRIV_COMMERCE
149;PRIVE;93;MONTREUIL;947;930;4;39.1;PRIV_SANTE_CENTRE, PRIV_SANTE_CABINET, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
150;PRIVE;95;ARGENTEUIL;614;610;4;38.1;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_RESTAURANT, PRIV_BUREAU, PRIV_COMMERCE
151;PUBLIC;91;CHAMPLAN;4;1;3;72.5;PUB_MAIRIE, PUB_ECOLE
152;PUBLIC;91;VILLEBON-SUR-YVETTE;6;2;3;70.3;PUB_MAIRIE, PUB_ECOLE
153;PUBLIC;78;CHAMBOURCY;5;1;3;70.0;PUB_MAIRIE, PUB_ECOLE
154;PUBLIC;91;BIEVRES;5;2;3;69.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
155;PUBLIC;91;WISSOUS;6;2;3;68.3;PUB_MAIRIE, PUB_ECOLE
156;PUBLIC;95;GROSLAY;7;2;3;66.4;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
157;PUBLIC;78;NOISY-LE-ROI;6;2;3;65.8;PUB_MAIRIE, PUB_ECOLE
158;PUBLIC;78;LE PORT-MARLY;8;6;3;65.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
159;PUBLIC;95;TAVERNY;13;4;3;65.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
160;PUBLIC;95;EZANVILLE;9;2;3;65.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
161;PUBLIC;94;RUNGIS;7;2;3;64.3;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
162;PUBLIC;78;HOUILLES;12;3;3;64.2;PUB_MAIRIE, PUB_ECOLE
163;PUBLIC;78;CARRIERES-SUR-SEINE;10;2;3;64.0;PUB_MAIRIE, PUB_ECOLE
164;PUBLIC;93;LE BLANC-MESNIL;15;6;3;63.7;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
165;PUBLIC;94;JOINVILLE-LE-PONT;10;2;3;63.5;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
166;PUBLIC;92;CHAVILLE;9;1;3;63.3;PUB_MAIRIE, PUB_ECOLE
167;PUBLIC;95;ANDILLY;7;4;3;62.9;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
168;PUBLIC;78;LOUVECIENNES;8;4;3;62.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
169;PUBLIC;78;BOUGIVAL;7;3;3;62.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
170;PUBLIC;94;FONTENAY-SOUS-BOIS;17;9;3;62.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
171;PUBLIC;94;LIMEIL-BREVANNES;11;3;3;61.7;PUB_ECOLE, PUB_HOPITAL
172;PUBLIC;93;VILLEPINTE;14;5;3;61.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
173;PUBLIC;94;VILLIERS-SUR-MARNE;15;6;3;61.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
174;PUBLIC;95;OSNY;17;7;3;61.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
175;PUBLIC;91;RIS-ORANGIS;15;6;3;60.7;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
176;PUBLIC;91;JUVISY-SUR-ORGE;12;6;3;60.2;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
177;PUBLIC;91;ORSAY;17;8;3;59.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
178;PUBLIC;91;EVRY-COURCOURONNES;36;21;3;58.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
179;PUBLIC;95;CERGY;36;19;3;57.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
180;PUBLIC;95;PONTOISE;25;13;3;57.4;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
181;PRIVE;94;LE KREMLIN-BICETRE;145;145;3;42.7;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
182;PRIVE;94;IVRY-SUR-SEINE;457;455;3;41.5;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
183;PRIVE;92;COLOMBES;531;529;3;40.4;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
184;PRIVE;78;VERSAILLES;1043;1012;3;37.8;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
185;PUBLIC;75;PARIS 04;3;3;2;75.0;PUB_MAIRIE
186;PUBLIC;91;VILLEBON SUR YVETTE;2;1;2;72.5;PUB_ECOLE
187;PUBLIC;95;MONTLIGNON;3;1;2;71.7;PUB_MAIRIE, PUB_ECOLE
188;PUBLIC;92;RUEIL MALMAISON;2;1;2;70.0;PUB_ECOLE
189;PUBLIC;95;BOUFFEMONT;6;2;2;66.7;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
190;PUBLIC;95;DOMONT;10;2;2;65.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
