rang_ville;domaine_chruth;code_departement;libelle_commune;nb_prospects;nb_societes;nb_chaude;score_moyen;categories_principales
1426;PRIVE;78;BAILLY;34;34;0;35.8;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT
1427;PRIVE;93;NEUILLY-PLAISANCE;156;154;0;35.7;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, PRIV_RESTAURANT, IMMO_AGENCE, PRIV_BUREAU, PRIV_COMMERCE
1428;PRIVE;78;SARTROUVILLE;350;350;0;35.6;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
1429;PRIVE;94;ORLY;91;91;0;35.6;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
1430;PRIVE;95;VILLIERS-LE-BEL;124;122;0;35.5;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
1431;PRIVE;91;MORANGIS;134;133;0;35.5;PRIV_LOISIRS, PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_BUREAU, PRIV_RESTAURANT, IMMO_AGENCE
1432;PRIVE;91;ATHIS-MONS;215;214;0;35.5;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
1433;PRIVE;92;CHATENAY-MALABRY;218;214;0;35.5;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
1434;PRIVE;94;CHENNEVIERES SUR MARNE;4;4;0;35.5;PRIV_SANTE_CABINET, IMMO_AGENCE, PRIV_RESTAURANT
1435;PRIVE;93;SEVRAN;189;189;0;35.5;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
1436;PRIVE;78;LA CELLE-SAINT-CLOUD;155;154;0;35.3;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT
1437;PRIVE;93;NOISY LE GRAND;6;6;0;35.3;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT
